"MF_name","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell","memory_CD8T","B_memory"
"ZNF460","4.027997","3.550015","3.298161","3.494069","3.392419","3.4173","8.8086385","3.558085","9.0059765","9.573106"
"ARID5B","3.397348","3.7170225","3.575447","3.999426","3.9006675","3.690926","10.6170025","3.580878","8.368746","9.556034"
"TFEC","3.486825","3.6545255","10.069563","9.460448","8.898046","3.758171","3.357619","3.617036","3.114318","3.2744265"
"FCER1G","4.949588","11.6434625","12.721801","13.4001115","12.1870115","5.789213","4.6284375","6.934341","4.189491","4.0423075"
"CD8B","6.221296","6.082324","5.403949","5.7454335","5.416283","7.972384","5.127434","11.300855","9.837925","4.150144"
"GRN","6.172978","7.111835","13.145351","12.550012","12.2419685","8.058193","5.4003435","7.528898","5.7832155","8.302895"
"RAB7A","6.682329","5.6137355","6.398921","6.8771855","6.1823515","6.00384","12.044938","5.714982","10.375135","11.5483285"
"CTSB","7.479031","7.69141","13.867314","13.9758385","14.0375265","8.96289","8.4387275","7.39814","7.6128305","7.772074"
"OSGIN2","4.774704","4.615642","4.597019","5.0102515","4.5891085","4.643249","10.1140735","4.592525","7.9808855","8.1479175"
"EXOSC3","6.194477","4.991268","5.21231","5.074872","5.0622525","5.100254","10.4097575","4.74041","7.169023","10.843203"
"FCRL5","5.241953","3.994946","3.600231","4.171211","3.5861535","4.208902","3.4058565","3.890272","3.0863525","8.096198"
"LINC01578","7.105915","5.355222","3.683193","3.5895545","4.2071155","3.362006","9.705019","4.116316","10.311352","9.124624"
"TRBC1","12.948686","12.096605","5.137771","7.748243","5.727799","11.341057","12.7123935","12.786947","12.773845","6.6633695"
"DNAJC21","3.547819","3.4657355","3.327811","3.2525515","3.535886","3.432726","4.299504","3.115151","4.612511","5.2010955"
"PRDM2","4.597188","4.0406515","3.861482","4.012782","3.6024295","4.19235","7.806428","3.848528","8.2276565","7.839383"
"PSAP","7.836548","9.643918","13.438335","13.0505295","13.114627","7.6462","8.4625635","7.804645","7.490134","8.879598"
"HBG2","4.786222","4.812018","4.623457","4.9329","4.4255555","13.206094","4.7205025","5.341626","4.7387795","4.2889915"
"AKT2","5.146473","5.4284595","5.084484","5.4155955","4.9261415","5.279229","10.9017565","5.314007","9.9368655","9.776588"
"SIRPA","4.67318","4.2013665","7.332216","8.101591","5.6235795","5.000001","5.1362535","4.802091","4.27421","5.6441215"
"PDGFC","3.501575","3.541875","8.397265","4.82476","7.4495885","3.493213","3.6560255","3.549321","3.011469","3.486674"
"BCL11B","9.930097","9.069096","3.835341","5.068272","3.643538","9.994141","7.006049","11.276371","10.228814","3.2386565"
"MRPL41","7.825133","8.1008755","8.686004","8.2724555","8.7298485","7.964356","9.55301","7.458014","9.2141395","9.4204685"
"JMJD1C","3.721955","4.3257735","4.305946","5.168824","4.1433235","3.648472","10.459585","4.023317","9.5119985","8.6252595"
"PPP3CC","7.248409","8.998945","6.934457","7.421886","7.537362","7.296568","9.093192","8.084891","9.8702275","8.837296"
"RAB31","4.289233","6.3318105","11.216381","11.634514","10.740456","4.982832","4.8655965","5.728766","3.9844265","8.791353"
"MAP4K1","6.527547","7.652474","5.368179","5.922463","5.50695","8.806091","6.317033","9.106412","10.339159","9.8839395"
"ETS1","5.919168","7.245084","4.787995","5.3666785","5.09879","6.481119","8.7462775","6.087938","9.5641965","8.141901"
"FOXP3","5.670191","5.5823995","5.954758","6.166187","5.6909435","6.142467","10.616105","5.996056","6.0050845","5.8956475"
"HNRNPU","4.469044","4.989216","5.546476","6.138353","5.462365","5.801793","10.6541955","5.691231","8.846352","9.3303655"
"NAA30","3.284809","3.127566","3.042347","3.1640985","3.075658","2.940989","8.6472","2.935232","8.0725515","7.558014"
"IL23A","13.09772","12.256428","4.040306","7.559632","5.3510855","11.408101","13.641776","12.613232","13.448607","10.6066655"
"SYK","4.557642","6.184147","7.284661","6.9662325","5.577914","4.497809","4.023192","4.577394","3.412028","8.405573"
"LRIG1","5.324416","4.871727","4.834588","5.1069345","4.9133695","5.162141","10.70863","5.266459","6.957984","5.7811505"
"IGKC","5.230859","6.2422995","5.104499","5.3181345","5.4792845","5.374629","5.690421","5.249903","5.227294","11.9912035"
"KMT2C","8.743741","9.488409","8.289656","7.644707","8.325255","6.500198","6.099648","7.49543","8.0804025","7.494566"
"PLPP3","3.2643","3.350203","11.129616","8.8649075","10.914361","3.301727","3.061326","3.296568","2.6362615","3.068773"
"MDM2","4.652258","4.563508","6.828397","5.5309365","6.1549005","4.144623","9.1515055","4.138917","8.3120455","8.565947"
"ZNF92","2.841192","3.6586225","3.216546","3.1259385","2.988334","3.102502","7.36386","3.050443","7.6062675","7.423629"
"B4GALT1","3.826411","4.2254295","3.475363","4.0227165","3.86761","3.857703","9.0844215","3.899542","9.052306","8.1577765"
"SDC2","5.655312","5.2580025","8.790937","8.2256215","9.331682","5.48337","5.753924","5.353121","5.0152795","5.240553"
"IRF2BP2","5.842943","5.517175","5.737903","6.0854715","6.115284","5.920921","10.5445155","5.872337","9.6056705","8.0383935"
"DYRK1A","4.003652","4.0794065","3.872847","4.213349","3.8056425","4.09511","8.594225","4.052831","8.3755305","7.575117"
"WDFY3","6.76511","4.9190405","4.699478","5.001569","4.7765515","4.175987","3.7792185","4.372694","3.3348265","3.432131"
"MLLT10","4.841022","3.8410265","4.409559","4.28233","4.5969175","4.065597","8.862493","3.923606","9.503352","8.414172"
"RPAIN","5.838779","4.664506","4.782283","5.106348","4.872758","5.782323","9.962039","4.814361","6.6216455","8.3470365"
"MGST1","2.607839","3.186519","9.459581","10.594637","11.029499","2.85313","2.997863","2.742885","2.5107425","2.910845"
"RORA","2.8631","2.6342755","2.586067","2.656878","2.7631935","2.608865","4.6101595","2.740966","5.8028945","3.2136835"
"DAB2","3.507118","3.910978","7.658058","7.0565115","7.418523","3.393201","3.336831","3.421681","3.0434415","3.156667"
"RHEB","9.103112","8.83162","10.221059","10.115326","10.582647","7.318143","9.459711","5.60122","6.8109205","7.3989595"
"POLR2A","3.510619","3.945513","3.378836","3.6912535","3.733303","3.776609","8.5772005","3.623384","8.1851965","8.310733"
"RBM48","5.429711","6.4773265","5.633368","5.4215885","5.3362015","4.812804","10.060098","5.408847","9.355049","9.2312045"
"ZFAND5","10.766207","11.3330555","11.498126","11.167597","11.5801295","9.278943","9.6337","10.569557","9.233026","9.3940535"
"PCNX4","3.460949","3.861979","3.625144","3.691895","3.507125","3.483534","6.4083355","3.457639","5.1486955","5.6657935"
"IL13RA1","3.351955","3.249855","8.456584","8.7973705","9.492308","3.335449","2.831294","3.177381","2.580211","3.762094"
"NUDT4","5.057605","3.3550075","3.203187","3.0344195","3.0534785","3.78549","5.596508","3.825644","5.544376","5.1404905"
"ZAP70","9.309123","10.2178965","4.932079","5.6011335","4.7562455","8.564904","6.647866","10.024227","9.901323","4.888404"
"RBM47","4.728249","4.528178","10.7436","10.100742","10.4422485","4.247807","3.446909","4.623593","3.020879","9.776472"
"YME1L1","7.164495","5.229507","5.414314","5.7416405","5.2659965","5.743272","8.2176005","5.855216","6.16598","3.929496"
"CDV3","12.17142","12.451026","12.035286","11.6813155","12.288789","11.4189","13.036805","12.346533","12.788943","13.0689295"
"MCL1","4.754579","6.1923805","6.628704","8.442033","6.6374195","4.558433","10.2470305","5.105984","8.135559","6.811059"
"CD5","10.470666","5.405788","5.060298","6.0163775","5.56331","9.444272","9.3951705","9.000323","10.4528775","5.6419025"
"GM2A","6.179568","6.332666","9.838756","12.448767","9.751339","6.079253","4.802948","5.792024","6.1200465","9.476014"
"RBM26","8.947252","8.390493","7.786005","5.2543475","7.293734","8.694723","6.2063105","10.659847","8.653314","7.699215"
"SLC7A1","3.979832","3.335204","3.779694","4.2901705","3.6368265","4.255625","9.745183","3.627943","4.703554","6.1058555"
"MAX","6.961017","7.449013","7.48415","7.7052415","6.411281","6.412746","11.9779115","5.993433","11.345566","10.3336865"
"CYP1B1","2.944209","3.5847185","11.993737","12.0823215","11.1627475","3.719706","2.9556735","3.582244","2.582339","3.1146465"
"ARRB1","5.714768","7.4129805","7.676996","6.7553365","6.903684","6.237444","5.5924375","6.533628","6.497538","4.598742"
"EPB41","4.334593","4.607337","4.429918","4.500776","4.3574815","4.275709","8.845913","4.749693","9.610904","7.905082"
"LAMP2","8.107091","9.481951","10.348183","10.0821065","10.8079185","7.826476","8.370064","8.320942","7.9166825","8.0090595"
"CCL18","3.214368","3.895484","14.226727","7.2489945","11.4302805","3.704641","3.916152","3.443125","3.360093","3.384409"
"MGLL","5.420842","5.4106185","10.732906","10.50782","11.4803555","5.459204","4.4661675","5.332544","4.0818755","5.0771365"
"RALGPS2","5.829498","6.043985","5.622872","5.1597075","5.2542155","5.911314","3.4843465","7.013551","3.542979","8.2705585"
"GNS","7.313425","9.646104","12.628567","12.375512","12.8552985","7.898218","6.224657","9.204295","7.8382855","7.583976"
"CD6","6.464644","5.6012645","5.121447","5.631858","5.0657955","6.929604","10.485864","5.786095","9.675523","5.0187315"
"AFF1","9.078233","10.117123","10.564193","9.8222215","10.715236","9.401699","7.536522","10.212299","9.301291","9.8770825"
"RPL38","13.528115","13.2606595","13.171583","12.633572","12.680366","12.233308","13.722216","13.298562","13.6160325","13.739578"
"RRAS2","6.316545","9.5979955","3.466468","4.035798","4.27068","8.949069","7.066547","6.649405","7.7246655","7.9342"
"NFATC2","7.821676","10.3183385","6.262815","4.400865","5.238538","8.003495","6.9872655","8.68625","9.304155","6.803753"
"PURB","6.234905","6.5564385","6.077816","6.9459285","6.6898925","6.346267","9.9978525","6.340447","8.5953595","9.6298315"
"FTH1","7.962065","9.4822965","12.485871","12.346689","12.7385895","8.200996","9.351169","9.084405","8.4650575","7.568418"
"DLG1","6.320286","5.086391","5.53082","4.8325615","5.0906995","4.587614","6.073905","4.461082","7.9141705","7.518232"
"CAMSAP1","4.334336","4.420786","4.423239","4.931746","4.1576495","4.673891","6.347317","4.377987","4.9328935","5.726782"
"FADS1","6.123261","6.9288745","11.484626","8.281139","10.7686735","8.69896","4.28486","5.536243","5.964687","7.590731"
"ITPRIPL2","4.535507","4.955274","8.0212","8.0973825","9.878586","4.873414","5.4129455","4.726635","6.604272","7.4421055"
"RHOQ","5.343179","8.912064","9.910524","10.449037","10.4395525","4.922074","7.465351","4.901974","7.1333945","10.6552425"
"IKZF1","5.84823","5.2415305","4.655944","4.7162465","4.9426205","5.697392","8.573151","5.378575","9.222251","11.083434"
"APLP2","4.842337","4.82197","5.382952","6.7036275","5.918018","4.430062","10.478653","4.599442","8.335289","7.7748005"
"DENND5B","4.510512","4.2214685","4.362194","4.638549","4.1894755","4.71557","5.0818235","4.702063","3.8285145","6.9356895"
"PMS2P3","8.418574","7.946824","7.207431","6.7232945","6.5983615","8.125611","9.250055","8.231523","9.450754","9.1975455"
"TCF3","8.330552","8.342157","8.215462","7.7609875","8.779214","8.561622","8.267843","8.835473","8.6696985","10.236079"
"SENP5","4.206524","4.837937","4.456408","4.6081505","5.126157","4.576929","8.4959275","4.20055","7.7656535","8.495493"
"NCOA2","4.574409","5.4829675","5.109646","5.84485","4.322129","4.694977","12.4164315","5.760893","9.683093","8.5467275"
"IGHA1","3.202533","3.8571075","3.466164","3.600435","3.7373505","3.827318","4.519632","3.771609","3.6804585","10.271917"
"CTNNA1","2.957942","3.867982","7.155921","8.3668695","6.5582775","3.368713","6.635371","3.137548","5.8343325","7.632051"
"SYNE2","3.424194","4.238988","3.086742","3.222533","3.039158","3.032913","6.2121155","3.512757","8.1781725","6.5118545"
"ARHGDIA","3.355072","6.5730595","5.395195","6.67483","5.843652","3.952442","11.4545","3.437941","10.1295615","9.1340955"
"CELF1","11.561746","10.708111","10.362479","10.6249205","10.435971","9.905183","9.0460825","10.924169","9.8632185","9.355332"
"PMS2P1","8.004001","7.950551","7.301495","7.083617","6.458538","8.246946","9.0333845","8.562761","8.5362055","9.1369375"
"CLEC7A","3.776448","4.127461","4.897665","4.7295275","3.740515","4.677778","6.252883","4.815015","6.588168","5.940398"
"RTN4","10.412434","11.643202","12.624702","12.9430185","12.9806925","10.348284","10.2178575","11.457164","10.248607","10.8144975"
"SH2D1A","6.18666","8.4572","5.017862","5.424729","4.6390905","6.662691","7.9243865","6.310141","8.8850125","6.0023805"
"IGH","4.192908","8.7243635","4.398155","4.8294995","5.112992","4.535892","5.518437","6.693496","4.613125","12.5532735"
"LRRC37A4P","7.590056","7.434561","6.65407","6.5923975","6.75726","6.760908","5.5595675","7.887634","8.4593665","6.757615"
"MRPS15","6.546879","7.675912","8.488813","8.2158685","8.5900075","8.46322","9.955641","7.320696","8.266326","9.942887"
"KMT2A","6.138131","7.3967765","4.879388","4.6474615","4.573512","4.939294","6.4407215","7.212832","9.471178","7.372329"
"CLMN","3.586957","3.702288","7.914752","4.82131","8.190669","4.052219","4.594582","3.734547","3.6445495","5.803747"
"TROVE2","4.203524","5.326705","4.849244","4.268018","5.156628","4.521722","8.783332","4.117464","9.0381145","9.0936075"
"SMARCA2","4.221899","3.750586","2.890902","2.6845955","3.185223","2.570181","5.0298605","2.950052","7.3087435","5.048416"
"CDC5L","8.188367","9.451075","8.958963","8.447744","9.483059","9.498921","7.452243","8.496966","7.250501","8.7338375"
"RUNX1","4.934369","5.0288905","5.444134","5.4464615","5.2575435","5.213435","9.6242475","5.26337","9.9517175","7.467372"
"DYNC1H1","8.600039","9.2878705","10.094012","9.810411","10.0235015","8.362421","7.9004505","9.054092","9.560553","9.055119"
"CAMK4","9.425036","4.766769","4.030198","4.4611185","4.3598685","8.853281","6.010072","10.161907","7.6103315","4.55407"
"BAZ1B","7.947296","8.194082","8.075814","7.614263","8.491226","8.492727","7.734864","8.399438","8.4000755","10.0997435"
"FNIP2","7.476315","8.6682195","11.879044","11.280223","10.8546035","7.570689","4.835839","8.034777","6.48495","4.1032585"
"CTSS","8.043007","10.332589","13.026449","12.493948","12.5759265","8.595634","6.9960475","10.339502","8.5570005","8.6847885"
"ACSL1","6.329293","6.5191765","11.727532","11.380591","10.563576","6.680282","8.123553","5.409131","5.9983885","6.9607515"
"CORO1C","4.154237","7.8048995","11.211606","10.756314","10.700359","6.637367","8.4094095","5.006089","6.6799925","10.6061555"
"SLC38A1","11.811546","12.016438","5.420567","5.63863","5.3345875","10.660198","11.0860095","12.085876","11.1905675","10.9314505"
"MITF","4.672243","5.0169835","8.943462","9.541817","8.1326385","4.709443","5.467539","4.802869","4.169573","4.349551"
"NRP2","5.220714","5.002028","6.624301","6.6254175","6.204968","5.03467","5.202999","4.789177","4.294463","4.7164445"
"GK","5.001046","4.928389","8.412238","10.26616","9.2298425","6.317541","10.142887","4.454651","5.498315","6.4814085"
"LRRN3","10.257778","4.6618565","4.095135","4.7578945","4.5112055","10.877816","4.4117505","11.793811","5.269834","4.0253975"
"TENT5C","5.544203","10.374282","4.278741","4.9000475","4.7913455","5.399918","9.7806215","5.623533","10.725095","11.490289"
"CASP2","5.523664","5.1681475","3.919242","4.1427635","4.9647045","4.821566","7.226551","4.051117","8.0070355","9.93395"
"IL1R1","4.078743","5.1181165","11.172036","5.867365","9.504964","6.448301","10.2212755","4.006683","2.961564","3.318728"
"G3BP1","10.17008","9.063381","9.610879","8.3414565","8.5205535","9.501549","11.0145555","10.000964","9.714196","8.6215"
"FTL","12.232558","13.19524","14.773564","14.7057425","14.816549","11.821945","13.773815","12.798998","12.868871","12.51315"
"SAMD3","4.117916","5.2805995","3.664142","3.9070675","3.7780945","3.828285","4.234128","4.156771","10.378349","4.197914"
"TPP1","7.065477","8.473432","11.987799","11.468385","10.3867095","6.970542","10.29189","7.337088","10.217418","9.5288235"
"CD86","3.91073","5.1326","10.347584","11.153187","12.5996885","4.191274","3.5959635","4.258563","3.1586115","7.6427705"
"ASAH1","7.863336","10.553974","12.828675","12.741276","13.050695","8.135822","6.566515","10.312452","8.6364525","9.2892115"
"AFF4","4.072902","4.673121","4.608885","5.8426655","5.745484","4.58583","8.284496","3.834577","8.1249865","6.5626265"
"IGHG1","4.098622","4.1951045","3.912856","4.307224","4.1619315","4.10663","5.425419","4.019938","4.0876465","9.5801105"
"ZNF770","9.852783","9.3596515","8.252414","6.951628","8.7093945","8.622797","8.9159795","8.840594","8.216947","8.330548"
"HLA-DRA","5.284153","9.2306255","13.748054","13.9046415","13.198156","6.887814","9.54942","6.984226","9.93756","12.087835"
"MEX3C","2.64504","4.8779045","2.44994","2.439358","2.6904435","2.676103","3.6356295","3.055073","4.730523","3.058245"
"H2AFX","6.827269","9.7118375","7.556891","7.56555","8.652471","9.067645","8.7758215","6.384646","7.145365","8.839167"
"GNAS","8.189481","6.2114235","5.463788","5.5861925","6.2685425","6.278402","11.1501085","6.404851","9.9837045","9.012642"
"CD79A","5.85028","5.931694","6.212071","6.9957875","6.3607925","6.470264","6.77199","6.802475","6.187935","10.023581"
"LCK","10.619711","10.3032285","4.815446","6.503345","5.4293275","10.85877","8.320029","10.768732","9.934847","6.293806"
"ITM2A","9.989048","9.6787055","4.793555","6.694605","4.819483","9.890088","10.1453195","9.423767","9.088477","8.018753"
"ANXA2","6.827612","10.908747","13.645631","14.149888","13.943888","8.63027","11.0463","8.186564","10.779112","11.861515"
"TNFRSF25","9.892396","6.898748","6.07207","6.487742","6.156473","8.679054","8.240587","7.932337","7.2806835","5.6818525"
"LEF1","5.688334","5.1423235","5.310739","5.5082515","5.3626695","5.777703","7.821725","5.647529","6.556428","5.5045855"
"SCML4","9.530399","7.913356","3.180188","3.6227845","3.3266705","5.998487","3.54632","9.538507","9.731382","3.838114"
"UBE2H","8.638758","9.442901","7.631486","7.8439685","8.975463","8.362018","8.081713","9.848587","9.66102","10.25156"
"ATP6V0C","9.908768","10.392154","12.220341","12.4822725","11.2286595","8.957156","9.0966135","9.275834","8.749686","9.5910805"
"PTMA","13.202395","13.47621","12.214174","11.6980285","12.40648","11.420795","13.6319115","11.37067","13.0374425","13.3704685"
"EZR","6.190163","5.404347","5.074929","5.4900805","5.5591045","5.508585","12.248265","5.077111","11.0794405","10.6411545"
"PTGFRN","6.342227","5.5263365","8.332509","6.297843","7.990849","6.699604","5.6351525","5.770763","4.5755225","4.771982"
"FNDC3A","4.700748","4.6074885","4.190977","4.634499","5.1595295","3.686772","8.3984095","4.173605","6.795771","7.8090525"
"FIP1L1","7.200019","8.6962845","7.639069","6.725728","7.8666425","8.320627","10.56982","7.828427","9.5100515","10.1165815"
"SERF2","11.063069","12.2620275","12.624429","12.73487","13.0047075","10.506036","10.110406","10.01177","11.0314455","10.7491035"
"BCL2L11","3.312166","3.621643","3.620054","3.660137","6.3810085","4.458883","9.2570885","3.558788","7.380997","8.268817"
"H3F3A","13.04569","13.5542615","13.17323","13.0021135","13.388334","11.359761","12.227822","12.374487","11.999299","12.677899"
"VAMP2","6.659705","7.1769465","6.624074","6.363088","5.6523955","6.167933","9.986396","6.216167","11.7515435","9.837926"
"YWHAE","5.416529","4.9909875","7.653927","8.1735445","6.419472","6.103427","11.291714","4.204188","8.215642","10.901828"
"PTGR1","4.045189","3.610673","7.661416","7.677831","8.125704","4.237185","4.1578745","3.662184","3.430491","4.0062445"
"SNRPN","5.633364","5.7641235","4.891887","4.1128325","4.2021445","4.360046","3.727594","8.978314","5.7553155","5.22519"
"SMG7","4.29112","3.6538055","3.534373","3.76326","3.803689","4.00754","7.797721","4.030529","7.078328","7.3078895"
"TPR","5.54208","5.539335","4.932961","3.735656","4.2600545","5.777506","3.470539","6.385687","4.3322205","3.101985"
"FAM30A","5.683608","6.1667405","5.83316","5.9778955","5.763188","6.055858","6.8218585","6.32274","6.1508925","9.9162805"
"JAG1","3.344943","4.3566565","5.778675","6.0974615","6.8816155","3.550653","4.6192855","3.522477","3.9926665","4.562391"
"HLA-DRB1","6.389257","10.172708","13.685873","13.903753","13.113705","7.658063","10.79872","8.825339","11.566369","12.5445335"
"ATP6V0E1","7.424767","8.2431205","6.962992","7.643142","7.9001645","6.910626","11.756439","6.658279","11.6979645","12.338468"
"HIPK3","10.179479","10.8846115","11.177817","10.630874","11.143359","8.962557","7.6983235","11.103263","8.969584","9.1910675"
"AHNAK","4.777588","7.1443565","6.612374","6.652518","7.7480925","4.841472","6.753724","5.249838","9.0202795","6.9321755"
"PRKCH","11.713126","12.541","6.327364","7.60405","7.1770205","10.144425","9.008274","12.045548","10.3142185","5.3835775"
"RNF13","8.227366","9.6199765","12.081817","11.5120625","11.7496605","8.214649","7.8746505","8.904364","8.957351","9.0915975"
"RBM33","8.081661","6.9559245","7.494293","6.387498","6.2936765","7.543287","6.252821","7.680746","8.7413645","7.7513225"
"GTF2I","3.866064","3.38184","3.33072","3.6679145","3.3443485","3.438328","7.5723255","3.481532","7.693978","9.590444"
"PTPN11","4.686037","5.488252","5.067826","5.937667","5.432107","5.485598","11.058194","4.928579","9.893534","11.0456915"
"CTBP2","6.710946","11.3588405","10.018368","8.9834025","9.832463","6.846392","5.484435","7.198939","7.1616595","6.4292185"
"INPP4B","4.360823","3.8916525","3.122788","3.374507","3.068599","9.36389","8.1627245","7.517419","8.319967","3.305664"
"NPL","4.181808","4.636167","11.168646","10.2750705","9.1407535","4.456875","4.2710115","4.045367","4.2928195","3.5563595"
"SPTBN1","4.574921","5.3194845","4.451283","4.576528","4.476243","4.542037","6.444892","5.280128","7.797948","8.0635475"
"KMO","4.016018","4.3622315","9.743499","10.0115235","9.576744","3.957101","4.007864","3.936619","3.248136","6.9832675"
"OGFRL1","4.387415","7.575561","8.922309","9.7773305","11.1515965","5.176635","4.8683025","6.198744","7.72704","7.32334"
"MYH11","4.388126","4.489338","5.140731","5.687119","4.7364475","5.263876","6.949045","4.970751","7.2902415","7.0067165"
"HEATR1","2.902104","3.284205","2.760928","3.082213","2.9754895","2.990106","7.858219","3.143386","5.322402","6.566141"
"FOXN3","4.704226","3.9943335","3.978872","4.33747","4.52883","4.340174","8.4276095","4.199858","8.948329","6.8322905"
"NPC1","4.606174","6.089216","7.050969","6.3705115","5.047594","4.317532","3.189743","4.578414","6.623753","3.569292"
"TOX4","5.489451","6.0032865","6.387063","7.384782","5.4541875","5.545486","10.3003535","5.219561","8.9386215","8.979132"
"CTSC","4.817277","10.7274485","13.502041","10.2865305","12.3788975","6.454975","9.353223","4.704939","8.685593","6.489136"
"DDX17","6.294928","6.794841","6.998394","7.5635505","6.9978575","6.835728","11.2116605","7.161295","12.349951","10.2465845"
"ZNF507","8.336205","8.0011545","3.942355","4.5437145","4.543299","8.389618","6.750238","9.201051","7.582254","7.2355415"
"FYN","10.618267","9.8721185","3.562512","4.3401295","4.9299645","7.662265","10.000182","8.581951","9.1260805","4.45763"
"PKIA","10.150827","5.4239865","4.141128","4.688816","4.387594","9.206454","10.4360155","8.374804","5.237289","6.0450075"
"CALM1","10.801693","11.1486925","9.249787","9.279586","10.014346","8.646462","12.7237075","9.848199","12.7885875","11.3296925"
"LRP12","3.247986","4.6693195","7.208404","7.880801","9.6137815","3.543921","3.4216925","3.054072","3.3423895","3.1232495"
"PILRA","4.55512","5.211584","9.290302","9.147431","8.43241","5.061193","6.1588015","5.145679","5.7557645","6.0571585"
"CTLA4","7.908076","5.1867975","5.018069","5.7377065","5.740986","6.812045","12.396429","5.234808","6.9507145","5.106197"
"CPM","3.161041","3.195565","11.69001","10.746965","11.1548215","3.85863","3.727967","3.237084","3.0971755","4.7175365"
"ITGB1","5.913712","9.2054655","9.97895","10.044388","9.931639","6.50258","10.2747245","5.606112","10.852398","10.8251305"
"TSPAN4","5.872803","6.9573265","9.795634","8.4576035","9.4351095","6.563773","6.304766","6.772351","5.742487","6.2673785"
"EEF1D","9.102493","5.0428315","5.380946","4.7777595","5.1429775","5.220622","9.096309","5.691039","9.433958","8.22322"
"TFAM","9.478737","8.962656","8.066977","7.431604","8.197155","9.294674","11.0475125","8.934641","8.9666935","10.2407935"
"CD44","8.757554","6.298735","5.404964","6.8210605","5.703008","5.314172","10.0607","8.295729","8.5810915","6.840245"
"TIMP2","4.822076","5.606404","11.858719","12.230139","11.595871","6.41376","4.2921365","7.503014","4.4590995","8.110935"
"CD7","9.792468","9.813526","5.301314","5.9867965","5.2818925","8.303907","9.301949","8.537503","8.471843","5.715172"
"KIAA1109","5.488561","5.3050705","5.359139","5.8093085","5.3135035","4.917864","5.308748","5.189708","8.1254465","6.103971"
"IGF2R","7.935006","10.8779715","11.466621","12.212445","11.718789","7.821116","8.929836","8.249112","10.030632","9.6485135"
"NCAM1","4.647194","4.511586","4.480329","4.707512","4.3428145","4.794081","5.637214","4.607501","4.644498","5.143247"
"MALAT1","10.180967","12.034117","9.959226","7.7872665","10.298842","8.640978","12.696698","9.581097","13.5262225","12.5884145"
"ATP6V1C1","6.529894","6.366488","9.510518","9.229837","10.11973","6.863834","6.8193145","5.254191","4.7662855","6.994832"
"MS4A1","3.569065","4.135126","3.772324","4.130464","7.9227725","4.695468","3.7046865","4.649256","6.065037","11.7064605"
"SLC2A4RG","5.710153","7.464152","6.199554","6.1031425","5.170936","6.565152","5.083407","6.637064","7.9070645","5.823544"
"NUP88","9.852441","8.9213545","8.068837","7.127519","7.845697","9.74022","9.5883305","9.31356","8.248189","9.3348185"
"CDK6","3.640446","3.3815675","3.422113","3.5619025","3.5530045","4.15197","8.821517","3.881803","6.104184","7.6808205"
"APBA2","8.768128","8.2456145","6.079447","6.6059645","6.2456845","7.36127","6.51252","9.434164","9.162073","6.1358885"
"CSF3R","4.270646","4.1167705","7.924844","7.777569","5.526008","5.14083","4.8624145","5.234795","3.727876","3.775444"
"RRAGD","4.939139","3.952151","10.699962","8.744483","10.247739","7.688779","4.607793","5.188359","3.399653","6.861457"
"RIPOR2","8.152549","10.178219","5.201679","6.7076265","5.240121","7.782557","8.041673","10.543195","10.7747775","9.8206265"
"GNG2","6.050232","8.4693825","5.308755","5.657644","5.2238215","6.377702","11.9377155","5.486513","11.6045035","8.6546395"
"NENF","5.650411","5.066819","5.423112","6.066143","5.416528","5.846832","7.608314","5.708807","7.0358265","8.6801525"
"CD58","4.004324","9.174511","9.765544","9.707616","10.6869505","6.026632","9.967654","4.143815","7.689661","7.734985"
"PHF3","5.898131","7.5030505","5.158969","4.733065","6.6828425","6.063267","8.1852305","6.986378","9.202542","9.4077015"
"QKI","6.765026","8.002239","8.602974","8.4989625","8.4021465","6.429505","9.489352","6.435691","8.3978685","8.577606"
"KLF12","4.566719","4.447605","4.223059","4.5104655","4.333282","4.576169","7.3531695","4.296619","9.214541","7.9020655"
"DIPK1A","3.829092","3.3777585","3.424344","3.375206","3.649021","3.449678","6.3871085","3.492515","5.5739","7.593213"
"TGS1","5.336955","4.7033885","4.08135","4.487003","4.5601615","5.150609","10.714485","4.982499","9.161519","9.4779515"
"BANK1","4.92507","4.9240655","4.940634","5.7570595","5.1258305","5.062736","4.914105","5.214138","4.651612","10.020575"
"IDH1","6.618275","7.8155565","12.534732","12.656761","12.64707","9.043427","3.5042135","7.598914","6.354397","9.0482305"
"TC2N","3.905966","3.247824","2.760706","3.002751","2.94044","3.151663","7.7544575","3.675316","9.5082685","4.614142"
"TOMM22","6.649918","6.8704585","5.801406","5.973197","6.4680865","8.150117","10.472243","6.539677","9.7470935","10.384676"
"CLEC2D","8.948223","4.8040075","4.109264","4.132334","3.3740635","5.949111","7.9557565","5.543668","8.8230805","6.8798225"
"PATL1","5.92193","5.4347735","7.314103","7.407","6.2644175","5.709123","8.9039315","4.835647","8.8499255","9.406566"
"C6orf106","5.798937","7.596701","6.104782","6.9780835","7.9564465","6.120128","10.4726865","6.185106","10.3197845","11.188091"
"CD28","5.598741","3.287031","2.921343","3.1600225","3.219744","4.654191","9.771175","3.231329","7.313917","2.902143"
