"MF_name","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell","memory_CD8T","B_memory"
"BTBD3","5.427045","6.188885","7.418168","6.2280175","8.447164","7.137641","4.2476655","4.956703","3.5172365","4.243836"
"COL9A3","3.593101","3.8111365","4.149175","4.680806","4.4860895","4.138407","5.8705065","4.154974","4.0945885","9.9984745"
"CLECL1","3.070419","3.6937645","3.661299","3.922932","3.6416875","3.424053","6.3465205","3.516408","6.794405","9.512848"
"TLR10","4.100401","4.517547","3.743346","4.195544","4.3038815","3.978739","3.6856055","4.165564","3.5172595","9.486138"
"TMEM176B","4.26854","4.2675995","11.634559","9.6170285","9.341086","4.455305","4.2274925","4.9933","3.459236","3.7997455"
"CD300LF","5.370828","5.356133","10.273445","10.7131","11.064867","5.470069","4.2468205","5.654372","3.6184875","3.7715135"
"LONRF1","4.42044","4.572068","4.426263","4.9661715","4.8239175","4.757942","7.2448415","4.636683","6.4009835","7.118284"
"PHF12","3.934733","4.089291","4.198869","4.116846","3.953064","3.882168","7.3594955","4.150143","9.7927965","8.220395"
"FCGRT","6.090112","5.6633005","11.552721","9.245076","9.4225285","6.832944","5.109192","6.991486","5.5119735","5.4179815"
"HIST1H1B","3.233684","3.115634","3.900375","3.7903755","3.692253","4.101679","5.951955","3.965404","6.3683855","8.873698"
"OSCAR","4.018808","3.709841","8.162629","8.6680165","7.2335475","4.168733","5.5018295","3.973181","4.4080705","4.479289"
"UGT1A9","6.982036","6.0611785","6.088107","6.226815","5.9892195","6.092511","3.9976975","6.168863","3.401773","3.5880945"
"ALDH1B1","4.528297","5.232801","5.060257","5.288745","5.3676605","5.406555","6.9694785","4.687808","8.4498785","8.9473855"
"LSM4","5.435738","4.8861235","4.780009","4.9323165","4.7249255","6.349322","8.0495835","5.353953","8.507115","9.5078935"
"GLA","7.11555","7.6227605","11.790645","12.1266275","12.02058","9.556529","9.815611","7.599281","6.774941","10.3158305"
"CTSD","4.681935","7.535009","11.365727","11.622694","10.7326935","6.245205","5.964887","6.491973","7.4547565","7.081304"
"LINC00491","8.833963","7.1787745","6.715346","7.6614995","6.630419","7.113732","3.480878","7.063026","2.743184","3.126211"
"CTSW","6.225918","11.4077485","5.799252","6.703131","6.4420845","6.241739","6.0221965","10.139756","11.8551735","5.575794"
"CEBPB","10.449889","11.7650905","13.267312","13.206153","13.277308","8.847812","9.7329565","10.266702","8.7858395","8.234061"
"C5AR1","3.865685","5.2035815","10.471168","10.800322","9.266213","3.31031","4.1413095","4.071176","3.986543","3.780635"
"HIST1H4B","4.028839","4.0985265","3.733298","3.9006015","3.920923","4.267521","9.4652335","4.429088","6.6268915","10.3243155"
"PGAM5","5.339607","5.192872","5.153155","5.2874195","5.3763725","6.019459","9.854396","4.789266","7.214059","7.808363"
"NDUFB7","3.78357","4.4371675","4.882013","4.8568605","5.132381","4.786106","7.31663","4.644953","7.32826","6.746437"
"FAXDC2","10.553228","8.97093","9.333364","9.764902","8.940562","8.471951","6.9520065","8.605021","6.6176115","6.7748255"
"FSCN2","3.334341","3.401106","3.886947","3.9321255","3.891407","3.945264","6.883648","3.908322","5.475017","5.560671"
"TUT7","4.781167","6.3480245","6.333073","6.575584","4.604236","4.152314","10.9293325","4.629891","10.26179","10.032844"
"SOBP","4.315322","4.3359555","4.598865","4.914424","4.619455","4.897081","7.9296","4.808066","6.7513525","6.333893"
"ENOPH1","4.885737","4.0911535","4.316347","4.6001415","4.0505435","4.539269","8.4837595","4.464782","5.4350685","6.2457965"
"POLR3H","5.261727","4.836638","5.056673","5.152445","5.432425","5.109417","8.0374045","4.840629","7.392636","8.4019605"
"ADO","4.66891","4.5045195","4.944965","5.5778965","5.6055935","5.026437","8.444279","5.160139","6.7510455","6.605028"
"TCTN2","7.166525","6.664276","6.669598","7.444394","7.1390895","7.098774","9.5257035","6.973646","10.497761","9.7537715"
"PMS2P2","7.481048","7.628314","6.994204","6.787669","6.147641","8.22898","8.8496255","8.432902","9.2577645","9.260714"
"WNK2","4.700337","5.035877","5.60319","5.8564405","5.2185055","5.509871","8.2868095","5.659922","7.8119195","7.476233"
"SGCE","3.69952","3.6592095","3.536327","3.658571","3.8096845","3.725041","4.589218","3.650192","5.725228","7.9158495"
"SDC4","4.874086","4.7704545","10.339718","9.250047","10.383057","7.611893","8.293995","4.027269","4.279208","4.436979"
"GNAO1","6.364162","6.640194","6.730737","7.7139435","6.516203","9.187084","3.6890435","7.188589","4.1079235","3.5796675"
"VDAC3","6.968286","5.338203","5.147086","5.6222555","5.2279665","5.3871","9.6706295","4.805757","8.6523555","9.114948"
"ITGB4","3.890102","3.6810475","4.039421","4.2090625","3.9518","3.984515","6.2722175","4.273125","5.9112335","6.0096625"
"VAT1","7.428943","8.175607","11.868767","10.7467135","11.4826525","8.291373","6.404913","7.81116","7.707509","8.164933"
"RNPEP","6.273089","8.383772","10.464732","10.33958","10.505291","8.140332","5.401576","7.763455","6.7549175","7.0797645"
"LOC100288069","4.919728","5.1033875","5.016944","6.093421","4.992904","4.736899","7.0527015","5.067579","9.7227925","8.4245165"
"SCPEP1","5.871583","7.541104","10.904613","11.400132","11.5428375","6.693188","5.6200065","8.093212","6.515212","9.752856"
"HCK","4.323245","4.7682405","11.174673","11.172048","10.628285","5.44917","4.750179","5.864036","4.1061115","7.489006"
"IFNGR2","8.83744","6.4933015","12.017136","11.3112555","11.2982485","9.194538","9.1717125","8.585657","5.1931135","7.902544"
"MED13","5.489757","6.757916","5.147173","6.0790255","6.069797","4.778128","9.779895","5.276875","9.1412515","8.0212475"
"PARP4","8.358272","9.7715205","10.462356","9.8140045","10.3910475","8.792971","4.502322","9.162894","8.321962","7.9347915"
"ZNF90","3.003193","3.259219","3.200034","3.115216","3.236728","3.234082","3.600648","3.12616","3.9568855","7.114331"
"HEXB","8.150362","9.802396","13.642645","12.842887","13.2840735","9.573274","9.512862","9.453599","9.0101775","10.0954985"
"CSNK1G3","5.093648","4.9948965","5.202002","5.237703","5.2569125","5.310566","9.566052","5.286404","7.4772205","7.2215935"
"NPTN","10.391181","10.6695535","11.933175","11.7846545","12.3931","9.937481","7.9838985","10.36543","8.4709835","8.881991"
"OCIAD2","11.458335","9.10504","5.751216","6.86637","6.4483605","9.942893","9.5814365","10.225006","9.3471455","9.286435"
"NEK9","4.140895","4.087944","4.117692","4.486183","3.8229245","4.54155","6.128421","4.52494","6.60891","7.0477155"
"TMEM176A","6.845551","6.715073","10.569689","9.0248525","9.0667135","5.961015","4.5428605","6.549912","4.0359895","4.080868"
"NFKBIA","5.077922","5.2723615","5.124225","5.0929835","5.6124685","5.27533","10.0146295","5.254891","10.214849","6.7295365"
"ANXA2P2","7.84789","8.8830115","11.123509","11.6959985","11.513253","7.872742","8.6558875","7.395709","7.7966","8.727"
"TEK","6.41571","5.2740205","5.481122","5.958681","5.2913765","5.609196","3.5935535","5.457179","3.293363","3.2520035"
"PTPRCAP","9.530048","10.440026","5.965606","6.7635095","6.326642","9.030613","8.378673","9.484007","10.70816","10.001653"
"RPPH1","5.89864","5.700097","5.435674","6.2607265","5.6406025","5.57959","10.1475385","5.887036","9.54312","9.277516"
"PPP1R10","7.124975","6.428028","7.099079","6.964913","6.8062465","7.244579","11.2512825","7.372181","9.049457","10.472938"
"PLD3","6.29719","6.791102","12.499356","12.259423","10.3462795","6.769444","5.7087315","6.921332","6.4561755","5.5350065"
"TAF4","3.738925","3.8923875","4.812409","4.6662545","4.597499","4.738833","7.005611","4.620955","7.099433","7.2457555"
"PYGL","4.47113","4.8579195","9.303939","8.2261015","9.2408295","4.824937","4.8377925","5.158557","4.0215415","4.3041505"
"ATG4D","7.206027","7.887993","6.709112","6.9051875","6.7204365","7.047296","8.2668965","7.241121","10.019529","8.6702945"
"ATOX1","7.089729","8.3579435","10.617805","10.4599705","11.301305","8.1682","9.339096","6.61486","8.6981605","9.8432935"
"ALG5","5.613934","4.1716055","4.750386","4.1402665","4.6664205","4.12992","8.897015","3.645656","7.586015","9.05136"
"F2R","2.939954","8.9181295","2.541005","2.7079825","2.7355","2.83199","3.318066","3.017909","6.0844925","3.8954405"
"HDGFL1","7.72075","6.851545","6.821657","7.428711","6.71218","6.945303","5.4448925","6.948605","4.2088535","4.3248065"
"DRAM1","4.941293","6.21329","10.108614","10.1635655","10.085304","5.120758","5.0556595","4.845234","4.7367","6.943018"
"SLC38A6","5.527801","4.974521","11.675351","10.811125","10.8802265","4.891288","3.9835995","5.865206","5.2071255","4.5935255"
"TMEM51","4.572196","4.301444","8.423016","8.0550425","8.03343","4.635002","5.58676","4.555624","5.119943","4.745272"
"IGHD","6.004158","6.236319","5.621631","5.9361375","5.461617","5.938618","6.675848","5.938964","5.821594","11.5148455"
"SIRPG","7.523983","4.5301495","4.026567","5.054133","4.3630825","8.226309","8.7328285","9.325869","8.627581","3.7157515"
"HPR","3.689413","3.8852715","3.949223","4.013867","4.1667185","4.025549","5.8380325","4.00456","5.721661","5.905204"
"GAA","6.287642","6.835195","10.027849","9.0250425","9.76593","6.96787","7.108299","6.821872","6.872758","6.768454"
"NDEL1","4.616153","4.126859","4.06625","4.2519195","3.9892325","4.033921","6.352912","4.230349","8.018305","6.3285105"
"PLBD1","4.630064","4.6850135","10.709725","11.7857895","11.05029","4.307266","4.18429","6.518682","5.053482","5.9000295"
"LAMA5-AS1","5.230636","5.0419585","5.599985","6.103536","5.8192355","5.22713","7.957041","5.688772","7.5511725","8.170662"
"MISP","7.156148","6.301663","6.810583","7.165681","6.328032","7.138269","5.246747","6.864903","4.6949845","4.631574"
"THAP5","2.795621","3.0835815","2.869725","2.6799445","2.8192955","2.712607","6.7054885","2.620964","5.413333","6.079695"
"LINC02210","5.398861","5.794249","6.43068","6.5471985","5.6385745","6.331244","8.3029115","6.428921","7.697089","7.9680315"
"TSR2","7.358587","8.325838","7.966275","7.767233","7.321989","8.537978","10.832157","8.216228","10.2057495","10.61577"
"PGD","5.981202","7.8807335","11.406097","12.431416","11.3041275","9.066359","7.9728965","7.277231","6.11316","8.5242775"
"RPARP-AS1","4.048684","4.177056","3.001435","2.839248","2.805949","3.10609","8.151491","2.871489","8.8933225","8.456302"
"MZT1","5.038399","4.111555","3.602158","3.817654","4.25833","3.738388","7.967202","3.110652","7.249335","10.0770355"
"NELL2","11.712826","6.6619895","4.904102","5.5987145","4.9461385","9.443386","4.006082","13.236985","7.9327875","3.3037195"
"GNPTG","7.006093","8.1461665","9.837712","8.9257445","9.907339","7.291216","8.452888","7.961465","8.9548005","8.251342"
"FBL","11.664489","11.0158935","9.738741","8.711953","8.6250075","11.363505","12.007006","11.610312","10.950077","12.005868"
"ATP6V0B","8.433743","9.817032","11.681293","12.042302","12.1336145","9.225536","8.877325","7.973538","7.6448785","10.0547615"
"SNORD3B-1","5.827824","5.127399","4.327018","5.200026","4.4646055","4.51064","11.200315","7.241428","10.582121","10.092364"
"PRR14","5.26791","5.9749015","6.314255","6.2047885","5.366887","5.598098","8.4357225","4.784812","9.9868365","10.710096"
"GZMM","6.972438","10.383959","4.668728","5.025425","4.404619","6.294598","6.1713505","6.627208","7.97017","5.176679"
"BCL2L2","5.348487","7.130399","8.670455","7.0116275","8.331845","4.995573","4.403178","5.253275","4.7650495","5.9637485"
"CDC42BPB","3.689122","3.6200105","6.777154","6.4880105","6.997247","3.869331","3.9178605","4.068818","3.9842335","6.400337"
